Timestamp,Account,DateActivity,Task,Quantity,ManHours,AccountID
1/11/13 12:19,Rad Booty Apparel,1/10/13,Containers Received,2,0,10301010
1/11/13 12:19,Rad Booty Apparel,1/10/13,Receive GOH,6500,8.5,10301010
1/11/13 12:19,Rad Booty Apparel,1/10/13,Verify Tags,6500,22.75,10301010
1/11/13 12:19,Rad Booty Apparel,1/10/13,Put Away GOH,32213,17,10301010
1/11/13 12:19,Rad Booty Apparel,1/10/13,Bulk Pick GOH,4140,9,10301010
1/11/13 12:19,Rad Booty Apparel,1/10/13,Pick GOH,3450,15,10301010
1/11/13 12:20,Rad Booty Apparel,1/10/13,Pack GOH,667,43,10301010
1/11/13 12:20,Rad Booty Apparel,1/10/13,Ship Cartons - UPS and Fed Ex,361,8,10301010
1/11/13 12:20,Rad Booty Apparel,1/10/13,Ship Cartons - LTL,192,1,10301010
1/14/13 11:51,Rad Booty Apparel,1/11/13,Containers Received,2,0,10301010
1/14/13 11:51,Rad Booty Apparel,1/11/13,Receive GOH,4150,5.5,10301010
1/14/13 11:51,Rad Booty Apparel,1/11/13,Verify Tags,4150,15,10301010
1/14/13 11:51,Rad Booty Apparel,1/11/13,Put Away GOH,38500,24.25,10301010
1/14/13 11:51,Rad Booty Apparel,1/11/13,Bulk Pick GOH,920,2,10301010
1/14/13 11:51,Rad Booty Apparel,1/11/13,Pick GOH,1150,5,10301010
1/14/13 11:51,Rad Booty Apparel,1/11/13,Pack GOH,356,26,10301010
1/14/13 11:51,Rad Booty Apparel,1/11/13,Ship Cartons - UPS and Fed Ex,101,3,10301010
1/14/13 11:52,Rad Booty Apparel,1/11/13,Ship Cartons - LTL,371,2,10301010
1/15/13 11:35,Rad Booty Apparel,1/14/13,Containers Received,1,0,10301010
1/15/13 11:35,Rad Booty Apparel,1/14/13,Receive GOH,3500,4.5,10301010
1/15/13 11:36,Rad Booty Apparel,1/14/13,Verify Tags,3500,12.5,10301010
1/15/13 11:38,Rad Booty Apparel,1/14/13,Put Away GOH,37260,23.25,10301010
1/15/13 11:38,Rad Booty Apparel,1/14/13,Bulk Pick GOH,2325,5,10301010
1/15/13 11:39,Rad Booty Apparel,1/14/13,Pick GOH,1410,6,10301010
1/15/13 11:39,Rad Booty Apparel,1/14/13,Pack GOH,498,37.75,10301010
1/15/13 11:40,Rad Booty Apparel,1/14/13,Ship Cartons - UPS and Fed Ex,121,3,10301010
1/15/13 11:40,Rad Booty Apparel,1/14/13,Ship Cartons - LTL,232,1,10301010
1/16/13 12:17,Rad Booty Apparel,1/15/13,Receive GOH,6100,8,10301010
1/16/13 12:18,Rad Booty Apparel,1/15/13,Verify Tags,6100,22,10301010
1/16/13 12:19,Rad Booty Apparel,1/15/13,Put Away GOH,8100,5,10301010
1/16/13 12:20,Rad Booty Apparel,1/15/13,Bulk Pick GOH,3284,7,10301010
1/16/13 12:23,Rad Booty Apparel,1/15/13,Pick GOH,4331,18.75,10301010
1/16/13 12:24,Rad Booty Apparel,1/15/13,Pack GOH,487,33,10301010
1/16/13 12:26,Rad Booty Apparel,1/15/13,Ship Cartons - UPS and Fed Ex,343,7,10301010
1/16/13 12:27,Rad Booty Apparel,1/15/13,Ship Cartons - LTL,35,0.25,10301010
1/17/13 11:46,Rad Booty Apparel,1/16/13,Containers Received,1,0,10301010
1/17/13 11:46,Rad Booty Apparel,1/16/13,Receive GOH,3375,4,10301010
1/17/13 11:46,Rad Booty Apparel,1/16/13,Verify Tags,3375,12,10301010
1/17/13 11:46,Rad Booty Apparel,1/16/13,Put Away GOH,9600,6,10301010
1/17/13 11:46,Rad Booty Apparel,1/16/13,Bulk Pick GOH,3680,6.5,10301010
1/17/13 11:46,Rad Booty Apparel,1/16/13,Pick GOH,1380,6,10301010
1/17/13 11:46,Rad Booty Apparel,1/16/13,Pack GOH,410,26.25,10301010
1/17/13 11:46,Rad Booty Apparel,1/16/13,Ship Cartons - UPS and Fed Ex,134,3,10301010
1/17/13 11:46,Rad Booty Apparel,1/16/13,Ship Cartons - LTL,147,0.5,10301010
1/18/13 11:50,Rad Booty Apparel,1/17/13,Containers Received,1,0,10301010
1/18/13 11:50,Rad Booty Apparel,1/17/13,Receive GOH,3050,4,10301010
1/18/13 11:51,Rad Booty Apparel,1/17/13,Verify Tags,3050,11,10301010
1/18/13 11:51,Rad Booty Apparel,1/17/13,Put Away GOH,9500,6,10301010
1/18/13 11:51,Rad Booty Apparel,1/17/13,Bulk Pick GOH,2300,5,10301010
1/18/13 11:51,Rad Booty Apparel,1/17/13,Pick GOH,3910,17.5,10301010
1/18/13 11:51,Rad Booty Apparel,1/17/13,Pack GOH,523,35,10301010
1/18/13 11:51,Rad Booty Apparel,1/17/13,Ship Cartons - UPS and Fed Ex,139,3,10301010
1/18/13 11:51,Rad Booty Apparel,1/17/13,Ship Cartons - LTL,265,2,10301010
1/22/13 14:00,Rad Booty Apparel,1/18/13,Containers Received,2,0,10301010
1/22/13 14:00,Rad Booty Apparel,1/18/13,Receive GOH,6900,9,10301010
1/22/13 14:00,Rad Booty Apparel,1/18/13,Verify Tags,6900,25,10301010
1/22/13 14:00,Rad Booty Apparel,1/18/13,Put Away GOH,9600,6.25,10301010
1/22/13 14:00,Rad Booty Apparel,1/18/13,Bulk Pick GOH,2300,5,10301010
1/22/13 14:00,Rad Booty Apparel,1/18/13,Pick GOH,1840,8,10301010
1/22/13 14:00,Rad Booty Apparel,1/18/13,Pack GOH,284,19,10301010
1/22/13 14:00,Rad Booty Apparel,1/18/13,Ship Cartons - UPS and Fed Ex,134,3,10301010
1/22/13 14:00,Rad Booty Apparel,1/18/13,Ship Cartons - LTL,299,1,10301010
1/23/13 11:01,Rad Booty Apparel,1/22/13,Containers Received,3,0,10301010
1/23/13 11:02,Rad Booty Apparel,1/22/13,Receive GOH,9300,12.25,10301010
1/23/13 11:02,Rad Booty Apparel,1/22/13,Verify Tags,9300,33.75,10301010
1/23/13 11:02,Rad Booty Apparel,1/22/13,Put Away GOH,12720,8.5,10301010
1/23/13 11:02,Rad Booty Apparel,1/22/13,Bulk Pick GOH,4500,10,10301010
1/23/13 11:02,Rad Booty Apparel,1/22/13,Pick GOH,2640,12,10301010
1/23/13 11:02,Rad Booty Apparel,1/22/13,Pack GOH,693,43.75,10301010
1/23/13 11:02,Rad Booty Apparel,1/22/13,Ship Cartons - UPS and Fed Ex,234,5,10301010
1/23/13 11:03,Rad Booty Apparel,1/22/13,Ship Cartons - LTL,35,0.25,10301010
1/24/13 12:57,Rad Booty Apparel,1/23/13,Containers Received,2,0,10301010
1/24/13 12:57,Rad Booty Apparel,1/23/13,Receive GOH,5850,7.75,10301010
1/24/13 12:57,Rad Booty Apparel,1/23/13,Verify Tags,5850,21.25,10301010
1/24/13 12:57,Rad Booty Apparel,1/23/13,Put Away GOH,9600,6,10301010
1/24/13 12:57,Rad Booty Apparel,1/23/13,Bulk Pick GOH,4050,9,10301010
1/24/13 12:57,Rad Booty Apparel,1/23/13,Pick GOH,2941,13.753,10301010
1/24/13 12:57,Rad Booty Apparel,1/23/13,Pack GOH,299,20,10301010
1/24/13 12:57,Rad Booty Apparel,1/23/13,Ship Cartons - UPS and Fed Ex,333,7,10301010
1/24/13 12:57,Rad Booty Apparel,1/23/13,Ship Cartons - LTL,52,0.25,10301010
1/25/13 12:32,Rad Booty Apparel,1/24/13,Containers Received,3,0,10301010
1/25/13 12:32,Rad Booty Apparel,1/24/13,Receive GOH,9100,12.25,10301010
1/25/13 12:32,Rad Booty Apparel,1/24/13,Verify Tags,9100,33,10301010
1/25/13 12:32,Rad Booty Apparel,1/24/13,Put Away GOH,9600,6,10301010
1/25/13 12:32,Rad Booty Apparel,1/24/13,Bulk Pick GOH,7200,15.75,10301010
1/25/13 12:32,Rad Booty Apparel,1/24/13,Pick GOH,4211,18,10301010
1/25/13 12:33,Rad Booty Apparel,1/24/13,Pack GOH,341,23.25,10301010
1/25/13 12:33,Rad Booty Apparel,1/24/13,Ship Cartons - UPS and Fed Ex,349,8,10301010
1/25/13 12:33,Rad Booty Apparel,1/24/13,Ship Cartons - LTL,298,1.5,10301010
1/28/13 13:40,Rad Booty Apparel,1/25/13,Containers Received,2,0,10301010
1/28/13 13:40,Rad Booty Apparel,1/25/13,Receive GOH,8100,10.75,10301010
1/28/13 13:41,Rad Booty Apparel,1/25/13,Verify Tags,8100,30,10301010
1/28/13 13:41,Rad Booty Apparel,1/25/13,Put Away GOH,12810,8,10301010
1/28/13 13:41,Rad Booty Apparel,1/25/13,Bulk Pick GOH,4410,9.5,10301010
1/28/13 13:41,Rad Booty Apparel,1/25/13,Pick GOH,5604,24,10301010
1/28/13 13:41,Rad Booty Apparel,1/25/13,Pack GOH,343,23.5,10301010
1/28/13 13:41,Rad Booty Apparel,1/25/13,Ship Cartons - UPS and Fed Ex,163,4,10301010
1/28/13 13:41,Rad Booty Apparel,1/25/13,Ship Cartons - LTL,439,1.75,10301010
1/29/13 9:59,Rad Booty Apparel,1/28/13,Containers Received,2,0,10301010
1/29/13 9:59,Rad Booty Apparel,1/28/13,Receive GOH,4960,6.5,10301010
1/29/13 10:00,Rad Booty Apparel,1/28/13,Verify Tags,4960,18,10301010
1/29/13 10:00,Rad Booty Apparel,1/28/13,Put Away GOH,10230,7,10301010
1/29/13 10:00,Rad Booty Apparel,1/28/13,Bulk Pick GOH,4576,10,10301010
1/29/13 10:00,Rad Booty Apparel,1/28/13,Pick GOH,4576,20,10301010
1/29/13 10:00,Rad Booty Apparel,1/28/13,Pack GOH,278,17,10301010
1/29/13 10:00,Rad Booty Apparel,1/28/13,Ship Cartons - UPS and Fed Ex,132,3,10301010
1/29/13 10:00,Rad Booty Apparel,1/28/13,Ship Cartons - LTL,113,0.5,10301010
1/30/13 12:54,Rad Booty Apparel,1/29/13,Containers Received,2,0,10301010
1/30/13 12:55,Rad Booty Apparel,1/29/13,Receive GOH,6200,8.25,10301010
1/30/13 12:55,Rad Booty Apparel,1/29/13,Verify Tags,6200,22.25,10301010
1/30/13 12:55,Rad Booty Apparel,1/29/13,Put Away GOH,9623,6,10301010
1/30/13 12:55,Rad Booty Apparel,1/29/13,Bulk Pick GOH,6490,14,10301010
1/30/13 12:55,Rad Booty Apparel,1/29/13,Pick GOH,8280,36,10301010
1/30/13 12:55,Rad Booty Apparel,1/29/13,Pack GOH,1404,101,10301010
1/30/13 12:55,Rad Booty Apparel,1/29/13,Ship Cartons - UPS and Fed Ex,253,5,10301010
1/31/13 12:15,Rad Booty Apparel,1/30/13,Containers Received,2,0,10301010
1/31/13 12:15,Rad Booty Apparel,1/30/13,Receive GOH,5300,7,10301010
1/31/13 12:15,Rad Booty Apparel,1/30/13,Verify Tags,5300,19.25,10301010
1/31/13 12:15,Rad Booty Apparel,1/30/13,Put Away GOH,6400,4,10301010
1/31/13 12:15,Rad Booty Apparel,1/30/13,Bulk Pick GOH,1400,3,10301010
1/31/13 12:15,Rad Booty Apparel,1/30/13,Pick GOH,6010,24.75,10301010
1/31/13 12:16,Rad Booty Apparel,1/30/13,Pack GOH,1600,115,10301010
1/31/13 12:16,Rad Booty Apparel,1/30/13,Ship Cartons - UPS and Fed Ex,405,8,10301010
1/31/13 12:16,Rad Booty Apparel,1/30/13,Ship Cartons - LTL,1310,8.5,10301010
2/1/13 13:15,Rad Booty Apparel,1/31/13,Containers Received,2,0,10301010
2/1/13 13:16,Rad Booty Apparel,1/31/13,Receive GOH,6200,8.25,10301010
2/1/13 13:16,Rad Booty Apparel,1/31/13,Verify Tags,6200,23,10301010
2/1/13 13:16,Rad Booty Apparel,1/31/13,Bulk Pick GOH,12610,27,10301010
2/1/13 13:16,Rad Booty Apparel,1/31/13,Pick GOH,9400,39.75,10301010
2/1/13 13:16,Rad Booty Apparel,1/31/13,Pack GOH,1535,113,10301010
2/1/13 13:16,Rad Booty Apparel,1/31/13,Ship Cartons - UPS and Fed Ex,152,5,10301010
2/1/13 13:16,Rad Booty Apparel,1/31/13,Ship Cartons - LTL,837,7.5,10301010
2/1/13 13:16,Rad Booty Apparel,1/31/13,Special Projects,4466,7.25,10301010
2/4/13 12:43,Rad Booty Apparel,2/1/13,Bulk Pick GOH,4950,11,10301010
2/5/13 15:05,Rad Booty Apparel,2/4/13,Bulk Pick GOH,6010,13,10301010
2/6/13 13:46,Rad Booty Apparel,2/5/13,Bulk Pick GOH,4650,9.5,10301010
2/7/13 13:18,Rad Booty Apparel,2/6/13,Bulk Pick GOH,3811,8,10301010
2/8/13 12:53,Rad Booty Apparel,2/7/13,Bulk Pick GOH,5985,13,10301010
2/12/13 9:36,Rad Booty Apparel,2/8/13,Bulk Pick GOH,5780,11,10301010
2/12/13 12:51,Rad Booty Apparel,2/11/13,Bulk Pick GOH,4745,10,10301010
2/13/13 12:07,Rad Booty Apparel,2/12/13,Bulk Pick GOH,6319,13,10301010
2/14/13 12:00,Rad Booty Apparel,2/13/13,Bulk Pick GOH,1892,5,10301010
2/15/13 11:59,Rad Booty Apparel,2/14/13,Bulk Pick GOH,3634,8,10301010
2/19/13 12:17,Rad Booty Apparel,2/15/13,Bulk Pick GOH,1382,3,10301010
2/6/13 13:45,Rad Booty Apparel,2/5/13,Containers Received,2,0,10301010
2/7/13 13:17,Rad Booty Apparel,2/6/13,Containers Received,2,0,10301010
2/8/13 12:52,Rad Booty Apparel,2/7/13,Containers Received,1,0,10301010
2/12/13 9:35,Rad Booty Apparel,2/8/13,Containers Received,1,0,10301010
2/12/13 12:50,Rad Booty Apparel,2/11/13,Containers Received,2,0,10301010
2/13/13 12:07,Rad Booty Apparel,2/12/13,Containers Received,1,0,10301010
2/15/13 11:58,Rad Booty Apparel,2/14/13,Containers Received,2,0,10301010
2/19/13 12:16,Rad Booty Apparel,2/15/13,Containers Received,2,0,10301010
2/4/13 12:43,Rad Booty Apparel,2/1/13,Pack GOH,989,67,10301010
2/5/13 15:05,Rad Booty Apparel,2/4/13,Pack GOH,483,58.5,10301010
2/6/13 13:46,Rad Booty Apparel,2/5/13,Pack GOH,1143,77,10301010
2/7/13 13:18,Rad Booty Apparel,2/6/13,Pack GOH,389,33,10301010
2/8/13 12:53,Rad Booty Apparel,2/7/13,Pack GOH,1566,104.5,10301010
2/12/13 9:36,Rad Booty Apparel,2/8/13,Pack GOH,224,14,10301010
2/12/13 12:51,Rad Booty Apparel,2/11/13,Pack GOH,1133,112.75,10301010
2/13/13 12:07,Rad Booty Apparel,2/12/13,Pack GOH,543,53.5,10301010
2/14/13 12:00,Rad Booty Apparel,2/13/13,Pack GOH,546,35,10301010
2/15/13 11:59,Rad Booty Apparel,2/14/13,Pack GOH,487,32,10301010
2/19/13 12:18,Rad Booty Apparel,2/15/13,Pack GOH,472,31,10301010
2/4/13 12:43,Rad Booty Apparel,2/1/13,Pick GOH,5451,24,10301010
2/5/13 15:05,Rad Booty Apparel,2/4/13,Pick GOH,6952,30,10301010
2/6/13 13:46,Rad Booty Apparel,2/5/13,Pick GOH,6873,29,10301010
2/7/13 13:18,Rad Booty Apparel,2/6/13,Pick GOH,3290,14,10301010
2/8/13 12:53,Rad Booty Apparel,2/7/13,Pick GOH,5985,26,10301010
2/12/13 9:36,Rad Booty Apparel,2/8/13,Pick GOH,6680,25.5,10301010
2/12/13 12:51,Rad Booty Apparel,2/11/13,Pick GOH,4981,21.75,10301010
2/13/13 12:07,Rad Booty Apparel,2/12/13,Pick GOH,4030,17.25,10301010
2/14/13 12:00,Rad Booty Apparel,2/13/13,Pick GOH,3940,17.25,10301010
2/15/13 11:59,Rad Booty Apparel,2/14/13,Pick GOH,2634,11.5,10301010
2/19/13 12:17,Rad Booty Apparel,2/15/13,Pick GOH,2382,10,10301010
2/4/13 12:43,Rad Booty Apparel,2/1/13,Put Away GOH,3500,2,10301010
2/5/13 15:04,Rad Booty Apparel,2/4/13,Put Away GOH,6400,4,10301010
2/6/13 13:46,Rad Booty Apparel,2/5/13,Put Away GOH,4820,3,10301010
2/7/13 13:18,Rad Booty Apparel,2/6/13,Put Away GOH,6482,4,10301010
2/8/13 12:53,Rad Booty Apparel,2/7/13,Put Away GOH,6420,4,10301010
2/14/13 12:00,Rad Booty Apparel,2/13/13,Put Away GOH,11250,7,10301010
2/15/13 11:59,Rad Booty Apparel,2/14/13,Put Away GOH,9600,6,10301010
2/19/13 12:17,Rad Booty Apparel,2/15/13,Put Away GOH,13200,8.5,10301010
2/4/13 12:42,Rad Booty Apparel,2/1/13,Receive GOH,3250,4.25,10301010
2/6/13 13:46,Rad Booty Apparel,2/5/13,Receive GOH,6900,9,10301010
2/7/13 13:18,Rad Booty Apparel,2/6/13,Receive GOH,7200,9.5,10301010
2/8/13 12:52,Rad Booty Apparel,2/7/13,Receive GOH,3600,4.75,10301010
2/12/13 9:36,Rad Booty Apparel,2/8/13,Receive GOH,3250,4.25,10301010
2/12/13 12:50,Rad Booty Apparel,2/11/13,Receive GOH,6900,9,10301010
2/13/13 12:07,Rad Booty Apparel,2/12/13,Receive GOH,3750,5,10301010
2/14/13 11:59,Rad Booty Apparel,2/13/13,Receive GOH,7250,9.5,10301010
2/15/13 11:58,Rad Booty Apparel,2/14/13,Receive GOH,9950,13.25,10301010
2/19/13 12:17,Rad Booty Apparel,2/15/13,Receive GOH,6750,9,10301010
2/4/13 12:44,Rad Booty Apparel,2/1/13,Ship Cartons - LTL,2421,17,10301010
2/5/13 15:05,Rad Booty Apparel,2/4/13,Ship Cartons - LTL,83,0.75,10301010
2/6/13 13:46,Rad Booty Apparel,2/5/13,Ship Cartons - LTL,795,5.25,10301010
2/7/13 13:19,Rad Booty Apparel,2/6/13,Ship Cartons - LTL,319,2.5,10301010
2/8/13 12:53,Rad Booty Apparel,2/7/13,Ship Cartons - LTL,396,3.25,10301010
2/12/13 9:36,Rad Booty Apparel,2/8/13,Ship Cartons - LTL,896,7,10301010
2/12/13 12:51,Rad Booty Apparel,2/11/13,Ship Cartons - LTL,613,4,10301010
2/14/13 12:00,Rad Booty Apparel,2/13/13,Ship Cartons - LTL,622,3,10301010
2/15/13 11:59,Rad Booty Apparel,2/14/13,Ship Cartons - LTL,275,1,10301010
2/19/13 12:18,Rad Booty Apparel,2/15/13,Ship Cartons - LTL,277,1.5,10301010
2/4/13 12:43,Rad Booty Apparel,2/1/13,Ship Cartons - UPS and Fed Ex,163,4,10301010
2/5/13 15:05,Rad Booty Apparel,2/4/13,Ship Cartons - UPS and Fed Ex,46,1,10301010
2/6/13 13:46,Rad Booty Apparel,2/5/13,Ship Cartons - UPS and Fed Ex,289,5.5,10301010
2/7/13 13:19,Rad Booty Apparel,2/6/13,Ship Cartons - UPS and Fed Ex,302,7,10301010
2/8/13 12:53,Rad Booty Apparel,2/7/13,Ship Cartons - UPS and Fed Ex,232,5,10301010
2/12/13 9:36,Rad Booty Apparel,2/8/13,Ship Cartons - UPS and Fed Ex,178,4,10301010
2/12/13 12:51,Rad Booty Apparel,2/11/13,Ship Cartons - UPS and Fed Ex,246,6,10301010
2/13/13 12:07,Rad Booty Apparel,2/12/13,Ship Cartons - UPS and Fed Ex,589,13,10301010
2/14/13 12:00,Rad Booty Apparel,2/13/13,Ship Cartons - UPS and Fed Ex,198,4,10301010
2/15/13 11:59,Rad Booty Apparel,2/14/13,Ship Cartons - UPS and Fed Ex,99,2,10301010
2/19/13 12:18,Rad Booty Apparel,2/15/13,Ship Cartons - UPS and Fed Ex,274,6,10301010
2/13/13 12:07,Rad Booty Apparel,2/12/13,Special Projects,178,2,10301010
2/4/13 12:42,Rad Booty Apparel,2/1/13,Verify Tags,3250,11.75,10301010
2/6/13 13:46,Rad Booty Apparel,2/5/13,Verify Tags,6900,25,10301010
2/7/13 13:18,Rad Booty Apparel,2/6/13,Verify Tags,7200,26,10301010
2/8/13 12:53,Rad Booty Apparel,2/7/13,Verify Tags,3600,13,10301010
2/12/13 9:36,Rad Booty Apparel,2/8/13,Verify Tags,3250,11.75,10301010
2/12/13 12:51,Rad Booty Apparel,2/11/13,Verify Tags,6900,23,10301010
2/13/13 12:07,Rad Booty Apparel,2/12/13,Verify Tags,3750,13.5,10301010
2/14/13 12:00,Rad Booty Apparel,2/13/13,Verify Tags,7250,26.25,10301010
2/15/13 11:59,Rad Booty Apparel,2/14/13,Verify Tags,9950,36,10301010
2/19/13 12:17,Rad Booty Apparel,2/15/13,Verify Tags,6750,24.25,10301010
2/20/13 11:41,Rad Booty Apparel,2/19/13,Bulk Pick GOH,3731,9,10301010
2/21/13 13:26,Rad Booty Apparel,2/20/13,Bulk Pick GOH,3680,8,10301010
2/22/13 12:23,Rad Booty Apparel,2/21/13,Bulk Pick GOH,3725,8,10301010
2/25/13 12:21,Rad Booty Apparel,2/22/13,Bulk Pick GOH,3220,7,10301010
2/26/13 12:35,Rad Booty Apparel,2/25/13,Bulk Pick GOH,5914,14,10301010
2/27/13 12:49,Rad Booty Apparel,2/26/13,Bulk Pick GOH,6883,18,10301010
2/28/13 12:37,Rad Booty Apparel,2/27/13,Bulk Pick GOH,6440,14,10301010
3/5/13 9:35,Rad Booty Apparel,2/28/13,Bulk Pick GOH,9296,20,10301010
2/20/13 11:41,Rad Booty Apparel,2/19/13,Containers Received,2,0,10301010
2/21/13 13:24,Rad Booty Apparel,2/20/13,Containers Received,2,0,10301010
2/22/13 12:22,Rad Booty Apparel,2/21/13,Containers Received,2,0,10301010
2/25/13 12:20,Rad Booty Apparel,2/22/13,Containers Received,2,0,10301010
2/26/13 12:33,Rad Booty Apparel,2/25/13,Containers Received,2,0,10301010
2/27/13 12:48,Rad Booty Apparel,2/26/13,Containers Received,2,0,10301010
2/28/13 12:34,Rad Booty Apparel,2/27/13,Containers Received,1,0,10301010
3/5/13 9:33,Rad Booty Apparel,2/28/13,Containers Received,1,0,10301010
2/20/13 11:42,Rad Booty Apparel,2/19/13,Pack GOH,885,58.5,10301010
2/21/13 13:26,Rad Booty Apparel,2/20/13,Pack GOH,503,32,10301010
2/22/13 12:23,Rad Booty Apparel,2/21/13,Pack GOH,726,46,10301010
2/25/13 12:21,Rad Booty Apparel,2/22/13,Pack GOH,653,43.75,10301010
2/26/13 12:36,Rad Booty Apparel,2/25/13,Pack GOH,977,60.25,10301010
2/27/13 12:50,Rad Booty Apparel,2/26/13,Pack GOH,1204,76,10301010
2/28/13 12:39,Rad Booty Apparel,2/27/13,Pack GOH,1747,114.5,10301010
3/5/13 9:35,Rad Booty Apparel,2/28/13,Pack GOH,885,50,10301010
2/20/13 11:42,Rad Booty Apparel,2/19/13,Pick GOH,2811,15,10301010
2/21/13 13:26,Rad Booty Apparel,2/20/13,Pick GOH,2760,12,10301010
2/22/13 12:23,Rad Booty Apparel,2/21/13,Pick GOH,3220,14,10301010
2/25/13 12:21,Rad Booty Apparel,2/22/13,Pick GOH,3126,13,10301010
2/26/13 12:35,Rad Booty Apparel,2/25/13,Pick GOH,4976,21,10301010
2/27/13 12:50,Rad Booty Apparel,2/26/13,Pick GOH,6883,35,10301010
2/28/13 12:38,Rad Booty Apparel,2/27/13,Pick GOH,7121,32.5,10301010
3/5/13 9:35,Rad Booty Apparel,2/28/13,Pick GOH,10010,43.5,10301010
2/20/13 11:41,Rad Booty Apparel,2/19/13,Put Away GOH,10200,6.5,10301010
2/21/13 13:25,Rad Booty Apparel,2/20/13,Put Away GOH,9623,6.5,10301010
